"SchoolYear","ESD","CountyNumber","County","CountyDistrictNumber","District","GradeTested","ReadingTotalTestedNotTested","ReadingTotalMSP_HSPETested","ReadingMetStandardIncludingPrevPass","ReadingPercentMetStandardIncludingPrevPass","ReadingMetStandardWithoutPrevPass","ReadingPercentMetStandardWithoutPrevPass","ReadingPercentMetStandardExcludingNoScore","ReadingLevel1","ReadingPercentLevel1","ReadingLevel2","ReadingPercentLevel2","ReadingLevelBasic","ReadingPercentLevelBasic","ReadingLevel3","ReadingPercentLevel3","ReadingLevel4","ReadingPercentLevel4","ReadingNoScore","ReadingPercentNoScore","ReadingNotMet","ReadingPercentNotMet","ReadingExcusedAbsence","ReadingExempted","ReadingWAASPORT","ReadingWAASDAPE","MathTotalTestedNotTested","MathTotalMSP_HSPETested","MathMetStandardIncludingPrevPass","MathPercentMetStandardIncludingPrevPass","MathMetStandardWithoutPrevPass","MathPercentMetStandardWithoutPrevPass","MathPercentMetStandardExcludingNoScore","MathLevel1","MathPercentLevel1","MathLevel2","MathPercentLevel2","MathLevelBasic","MathPercentLevelBasic","MathLevel3","MathPercentLevel3","MathLevel4","MathPercentLevel4","MathNoScore","MathPercentNoScore","MathNotMet","MathPercentNotMet","MathExcusedAbsence","MathExempted","MathWAASPORT","MathWAASDAPE","WritingTotalTestedNotTested","WritingTotalMSP_HSPETested","WritingMetStandardIncludingPrevPass","WritingPercentMetStandardIncludingPrevPass","WritingMetStandardWithoutPrevPass","WritingPercentMetStandardWithoutPrevPass","WritingPercentMetStandardExcludingNoScore","WritingLevel1","WritingPercentLevel1","WritingLevel2","WritingPercentLevel2","WritingLevelBasic","WritingPercentLevelBasic","WritingLevel3","WritingPercentLevel3","WritingLevel4","WritingPercentLevel4","WritingNoScore","WritingPercentNoScore","WritingNotMet","WritingPercentNotMet","WritingExcusedAbsence","WritingExempted","WritingWAASPORT","WritingWAASDAPE","ScienceTotalTestedNotTested","ScienceTotalMSP_HSPETested","ScienceMetStandardIncludingPrevPass","SciencePercentMetStandardIncludingPrevPass","ScienceMetStandardWithoutPrevPass","SciencePercentMetStandardWithoutPrevPass","SciencePercentMetStandardExcludingNoScore","ScienceLevel1","SciencePercentLevel1","ScienceLevel2","SciencePercentLevel2","ScienceLevelBasic","SciencePercentLevelBasic","ScienceLevel3","SciencePercentLevel3","ScienceLevel4","SciencePercentLevel4","ScienceNoScore","SciencePercentNoScore","ScienceNotMet","SciencePercentNotMet","ScienceExcusedAbsence","ScienceExempted","ScienceWAASPORT","ScienceWAASDAPE","ReadingLevelIndex","MathLevelIndex"
"2009-10","Educational Service District 101","01","Adams","01158","Lind School District",10,25,25,19,76,19,76,76,2,8,4,16,0,0,9,36,10,40,0,0,6,24,0,1,,,26,25,14,53.8,14,53.79,56,8,30.69,3,11.5,0,0,11,42.29,3,11.5,1,3.79,12,46.1,0,0,,,25,24,20,80,20,80,83.3,0,0,4,16,0,0,6,24,14,56,1,4,5,20,0,1,,,26,24,7,26.9,7,26.89,29.2,12,46.1,5,19.19,0,0,6,23,1,3.79,2,7.59,19,73,0,0,,"NA",3.08,2.27
"2009-10","Educational Service District 101","01","Adams","01160","Ritzville School District",3,19,19,15,78.9,15,78.9,78.9,2,10.5,2,10.5,0,0,4,21,11,57.79,0,0,4,21,0,1,,,19,19,15,78.9,15,78.9,78.9,0,0,4,21,0,0,9,47.29,6,31.5,0,0,4,21,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA",3.26,3.1
"2009-10","Educational Service District 101","01","Adams","01160","Ritzville School District",4,26,25,20,76.9,20,76.9,80,0,0,5,19.19,0,0,11,42.29,9,34.6,1,3.79,6,23,0,0,,,26,25,12,46.1,12,46.1,48,6,23,7,26.89,0,0,8,30.69,4,15.3,1,3.79,14,53.79,0,0,,,26,25,17,65.29,17,65.29,68,2,7.59,6,23,0,0,9,34.6,8,30.69,1,3.79,9,34.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA",3.04,2.3
"2009-10","Educational Service District 101","01","Adams","01160","Ritzville School District",5,20,20,13,65,13,65,65,3,15,4,20,0,0,6,30,7,35,0,0,7,35,0,0,,,20,20,10,50,10,50,50,3,15,7,35,0,0,6,30,4,20,0,0,10,50,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,5,25,5,25,25,5,25,10,50,0,0,5,25,0,0,0,0,15,75,0,0,,"NA",2.85,2.55
"2009-10","Educational Service District 101","01","Adams","01160","Ritzville School District",6,26,25,15,57.6,15,57.6,60,3,11.5,7,26.89,0,0,12,46.1,3,11.5,1,3.79,11,42.29,0,0,,,26,25,18,69.2,18,69.2,72,5,19.19,2,7.59,0,0,13,50,5,19.19,1,3.79,8,30.69,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA",2.5,2.61
"2009-10","Educational Service District 101","01","Adams","01160","Ritzville School District",7,29,29,17,58.6,17,58.6,58.6,2,6.79,10,34.39,0,0,5,17.19,12,41.29,0,0,12,41.29,0,0,,,29,29,20,68.9,20,68.9,69,7,24.1,2,6.79,0,0,15,51.7,5,17.19,0,0,9,31,0,0,,,29,29,23,79.29,23,79.29,79.3,3,10.3,3,10.3,0,0,14,48.2,9,31,0,0,6,20.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA",2.92,2.62
"2009-10","Educational Service District 101","01","Adams","01160","Ritzville School District",8,22,22,16,72.7,16,72.7,72.7,2,9,4,18.1,0,0,5,22.69,11,50,0,0,6,27.19,0,0,,,22,22,16,72.7,16,72.7,72.7,2,9,4,18.1,0,0,9,40.89,7,31.8,0,0,6,27.19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22,15,68.09,15,68.09,68.2,4,18.1,3,13.59,0,0,10,45.39,5,22.69,0,0,7,31.8,0,0,,"NA",3.13,2.95
"2009-10","Educational Service District 101","01","Adams","01160","Ritzville School District",10,25,,,,,,,,,,,,,,,,,,,,,,,,,26,25,15,57.6,15,57.6,60,5,19.19,5,19.19,0,0,11,42.29,4,15.3,1,3.79,11,42.29,0,0,,,25,24,21,80.7,20,80,83.3,0,0,4,16,0,0,13,52,7,28,1,4,5,20,0,1,,,26,24,11,42.3,11,42.29,45.8,5,19.19,8,30.69,0,0,10,38.39,1,3.79,2,7.59,15,57.6,0,0,,"NA",,2.46
"2009-10","Educational Service District 123","02","Asotin","02250","Clarkston School District",3,179,175,122,68.09,122,68.09,69.7,21,11.69,32,17.8,0,0,70,39.1,52,29,4,2.2,57,31.8,0,0,1,,179,175,81,45.2,81,45.2,46.3,37,20.6,57,31.8,0,0,67,37.39,14,7.79,4,2.2,98,54.7,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA",2.81,2.28
"2009-10","Educational Service District 123","02","Asotin","02250","Clarkston School District",4,202,201,116,57.39,116,57.39,57.7,17,8.4,68,33.6,0,0,81,40,35,17.3,1,0.4,86,42.5,0,0,,,202,201,80,39.6,80,39.6,39.8,71,35.1,50,24.69,0,0,62,30.6,18,8.9,1,0.4,122,60.29,0,0,,,201,198,97,48.2,97,48.2,49,50,24.8,51,25.3,0,0,72,35.79,25,12.4,3,1.39,104,51.7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA",2.65,2.12
