"district","year","total.revenue","total.revenue.per.pupil","local.revenue.per.pupil","local.percent.total.revenue","state.revenue.per.pupil","state.percent.total.revenue","federal.revenue.per.pupil","federal.percent.total.revenue","other.revenue.per.pupil","other.percent.total.revenue"
"Goldendale School District","2011-12",10586443,10507.01,2274.24,21.6,6260.28,59.6,1069.28,10.2,903.21,8.6
"Grand Coulee Dam School District","2011-12",8013296,12534.49,1820.79,14.5,7641.32,61,3035.78,24.2,36.6,0.3
"Grandview School District","2011-12",33427337,9606.91,465.26,4.8,7223.75,75.2,1917.63,20,0.27,0
"Granger School District","2011-12",15369277,10154.99,513.78,5.1,7592.62,74.8,2045.96,20.1,2.63,0
"Granite Falls School District","2011-12",19981913,9398.48,2221.01,23.6,6388.09,68,674.14,7.2,115.24,1.2
"Grapeview School District","2011-12",2089310,9908.52,3031.33,30.6,5886.04,59.4,990.52,10,0.63,0
"Great Northern School District","2011-12",588416,13489.6,3704.9,27.5,8918.8,66.1,865.89,6.4,0,"-"
"Green Mountain School District","2011-12",1380144,9483.57,2608.51,27.5,6447.79,68,339.62,3.6,87.65,0.9
"Griffin School District","2011-12",6938739,11458.38,4031.23,35.2,6472.61,56.5,648.04,5.7,306.51,2.7
"Harrington School District","2011-12",2439360,22492.95,4575.58,20.3,16326.2,72.6,1318.43,5.9,272.74,1.2
"Highland School District","2011-12",11746175,9669.94,1287.59,13.3,7179.3,74.2,1203.05,12.4,0,"-"
"Highline School District","2011-12",185591743,10333.6,2644.86,25.6,6315.4,61.1,1246.4,12.1,126.94,1.2
"Hockinson School District","2011-12",16663495,8783.3,2093.35,23.8,6428.71,73.2,236.47,2.7,24.77,0.3
"Hood Canal School District","2011-12",4595195,13805.6,3618.87,26.2,6944.5,50.3,3187.7,23.1,54.54,0.4
"Hoquiam School District","2011-12",17580305,10551.96,1913.94,18.1,6830.58,64.7,1424.42,13.5,383.02,3.6
"Inchelium School District","2011-12",3311029,16097.96,159.38,1,9605.1,59.7,6292.91,39.1,40.58,0.3
"Index School District","2011-12",689174,21843.87,6060.27,27.7,14413.5,66,1370.1,6.3,0,"-"
"Issaquah School District","2011-12",156139228,9084.13,3053.96,33.6,5679.03,62.5,336.35,3.7,14.78,0.2
